Scenario;Region;Sector;Set;Name;Description;Unit;Type;Sub type;Lim type;Time slice level;Peak time slice
BASE;RW;IND;.NRG.;IOIHTH;High Temperature Heat for IOI (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOIMCH;Other Industries.Machine Drive.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOIOTH;Other Industries.Other Processes.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IOIPRC;Other Industries.Process Heat.;PJ;NRG;;;;
BASE;RW;IND;.NRG.;IPHHTH;High Temperature Heat for IPH (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;IPO;Potatoes transformed demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IPOHTH;High Temperature Heat for IPO (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;IPP;High Quality Paper Demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;IPPHTH;High Temperature Heat for IPH and IPL (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;IPPPRC;Process Heat for IPH and IPL (IND);PJ;NRG;;;;
BASE;RW;IND;.DEM.;ISG;Sugar demand;Mt;DEM;;;;
BASE;RW;IND;.NRG.;ISGHTH;High Temperature Heat for ISG (IND);PJ;NRG;;;;
BASE;RW;IND;.MAT.;MBORES;MBORES;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MBOWOO;Wood : arbre;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MBRWOO;Wood material (IND);Mt;MAT;;;;
BASE;RW;IND;.MAT.;MCMCLK;Cement: Clinker;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MCUORE;Copper: Ore;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MCUPDT;Pdt : culture;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MCUSCR;Copper: Scrap;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MCUSCU;Copper: Secondary;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MGHRYC;Glass: Recycled;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISBFS;Iron and Steel: Blast Furnace Slag;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISCST;Iron and Steel: Crude Steel;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISDIR;Iron and Steel: DRI Iron;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISGBE;Sucre : betterave;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISGJU;Sucre : juice;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISORE;Iron and Steel: Ore;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISOXY;Iron and Steel: Oxygen;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISPLT;Iron and Steel: Pellet;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISQLI;Iron and Steel: Quick Lime;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISRFC;Iron and Steel: Ferrochrome;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISRIR;Iron and Steel: Raw Iron;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISSCR;Iron and Steel: Scrap Iron;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MISSNT;Iron and Steel: Sinter;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MLMSTN;Lime: Limestone;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPGYP;Paper: Gypsum;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPKAO;Paper: Kaolin;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPNOH;Paper: Sodium Hydraxide;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPOXY;Paper: Oxygen;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPPUP;Paper: Pulp;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPRYC;Paper: Recycled;Mt;MAT;;;;
BASE;RW;IND;.MAT.;MPPWOO;Paper: Wood;Mt;MAT;;;;
BASE;RW;IND;.DEM.;NEC;Non Energy Consumption - Chemicals;PJ;DEM;;;;
BASE;RW;IND;.DEM.;NEO;Non Energy Consumption - Others;PJ;DEM;;;;
BASE;RW;IND;.ENV.;NETSICO2N;NETS industrial CO2;kt;ENV;;;;
BASE;RW;IND;.ENV.;NETSINO2N;NETS industrial No2;kt;ENV;;;;
BASE;RW;IND;.NRG.;REFHTH;High Temperature Heat for refineries (IND);PJ;NRG;;;;
BASE;RW;IND;.NRG.;SYNH2G;Hydrogen synthetic gasuous;PJ;NRG;;;;
BASE;RW;RSD;.DEM.;DJ2F;DJ2F;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;DJ3F;DJ3F;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;DJ4F;DJ4F;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;DJAP;DJAP;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;R_2Fac;Demand Existing Building_2 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_3Fac;Demand Existing Building_3 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_4Fac;Demand Existing Building_4 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_Appa;Demand Existing Building_Appart;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_N2Fac;Demand New Building_2 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_N3Fac;Demand New Building_3 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_N4Fac;Demand New Building_4 façades;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;R_NAppa;Demand New Building_Appart;Mm2;DEM;;;;
BASE;RW;RSD;.DEM.;RCDR;Rsd.Cloth Drying.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;RCOK;Rsd.Cooking.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;RCWA;Rsd.Cloth Washing.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;RDWA;Rsd.Dish Washing.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.NRG.;RH2F;Residential heating Building_2 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RH3F;Residential heating Building_3 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RH4F;Residential heating Building_4 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHAP;Residential heating Building_Appart;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHDJ2F_2021;RHDJ2F_2021;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHDJ3F_2021;RHDJ3F_2021;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHDJ4F_2021;RHDJ4F_2021;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHN2F;Residential heating New Building_2 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHN3F;Residential heating New Building_3 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHN4F;Residential heating New Building_4 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RHNAP;Residential heating New Building_Appart;PJ;NRG;;;;
BASE;RW;RSD;.DEM.;RLIG;Rsd.Lighting.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;ROEL;Rsd.Other Electric.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;ROEN;Rsd.Other Energy.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.DEM.;RREF;Rsd.Refrigeration.Existing.;PJ;DEM;;;;
BASE;RW;RSD;.NRG.;RSDAHT;Residential ambient heat;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDBDL;Biodiesel (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDCH4;CH4 (RSD);kt;ENV;;;;
BASE;RW;RSD;.ENV.;RSDCO2b;CO2 biomasse (RSD);kt;ENV;;;;
BASE;RW;RSD;.ENV.;RSDCO2N;Carbon Dioxide - Combustion (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RSDCOA;Coal (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDCOV;COV polluant (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RSDCPS;WOOD chips (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDELC;Electricity (RSD);PJ;NRG;ELC;;DAYNITE;
BASE;RW;RSD;.NRG.;RSDGAS;Natural Gas (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDGEO;Geothermal (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDGHG;GES total (RSD);kt;ENV;;;;
BASE;RW;RSD;.ENV.;RSDGHGb;GES biomasse total (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RSDGMX;Gas mixed reseau (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDGSL;Gasoline (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDGZH;Biogaz purifié (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDHET;Heat (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDLOG;Wood logs (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDLPG;Liquified Petroleum Gas (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDN2O;N2O (RSD);kt;ENV;;;;
BASE;RW;RSD;.ENV.;RSDNH3;NH3 polluant (RSD);kt;ENV;;;;
BASE;RW;RSD;.ENV.;RSDNOX;NOX polluant (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RSDOIL;Diesel Oil (RSD);PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RSDPEL;Wood Pellets (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDPM2;PM2 polluant (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RSDSOL;Solar (RSD);PJ;NRG;;;;
BASE;RW;RSD;.ENV.;RSDSOX;SOX polluant (RSD);kt;ENV;;;;
BASE;RW;RSD;.NRG.;RW2F;Residential water heating Building_2 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RW3F;Residential water heating Building_3 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RW4F;Residential water heating Building_4 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RWAP;Residential water heating Building_Appart;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RWN2F;Residential water heating New Building_2 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RWN3F;Residential water heating New Building_3 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RWN4F;Residential water heating New Building_4 façades;PJ;NRG;;;;
BASE;RW;RSD;.NRG.;RWNAP;Residential water heating New Building_Appart;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOBOU;Boues;Mt;NRG;;;;
BASE;RW;SUP;.NRG.;BIOCPS;Wood Chips;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOCRP1;Starch crops;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOCRP2;Sugar crops;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOCUL;Culture;Mt;NRG;;;;
BASE;RW;SUP;.NRG.;BIODME;Bio Dimethyl ether (DME);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIODRY;Dry Bio waste;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIODST;Diesel from Biomass;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOEFF;Effluents;Mt;NRG;;;;
BASE;RW;SUP;.NRG.;BIOETH;Bioethanol;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOGAS;Biogas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOGZH;Biogaz épuré;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOLOG;Wood Logs;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOPEL;Wood Pellets;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIORME;Biodiesel rapeseed methyl ester (RME);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIORPS;Rapeseed;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOSLU;Sludges Renewable;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;BIOSLUH;Sludges Renewable;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COABRO;Brown Coal;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COACOK;Coke;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COAHAR;Hard Coal;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COALIG;Lignite;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COHRSV;Hard Coal Reserves;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;COLRSV;Lignite Reserves;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;ELCCO2I;Investment-related Emission: ELCCO2I;kt;ENV;;;;
BASE;RW;SUP;.NRG.;ELCForPeak;ELC for a common peaking constraint;PJ;NRG;ELC;;DAYNITE;ANNUAL
BASE;RW;SUP;.ENV.;ELCLossInTransmsn;Accounting for the ELC Loss in transmission lines;PJ;ENV;;;;
BASE;RW;SUP;.ENV.;ETSCO2;ETS Carbon Dioxide;kt;ENV;;;;
BASE;RW;SUP;.ENV.;ETSCO2N;ETS CO2;kt;ENV;;;;
BASE;RW;SUP;.ENV.;ETSGHG;ETS Greenhouse Gas Emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;ETSNO2N;ETS NO2;kt;ENV;;;;
BASE;RW;SUP;.NRG.;GASBFG;Blast-Furnace Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;GASCOG;Coke-Oven Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;GASGWG;Gasworks Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;GASNAT;Natural Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;GASPIP;Natural Gas Pre-Pipeline;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;GASRSV;Natural Gas Reserves;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;GreenCert-ELC;Green Certificates for ELC sector;PJ;ENV;;;;
BASE;RW;SUP;.ENV.;GreenCert-FIN;Green Certificates for Enduse sectors;PJ;ENV;;;;
BASE;RW;SUP;.NRG.;MOLECH4;ECH4 import pour mix reseau  (SUP);PJ;NRG;;;;
BASE;RW;SUP;.ENV.;NETSCH4N;NETS CH4;kt;ENV;;;;
BASE;RW;SUP;.ENV.;NETSCO2;NETS Carbon Dioxide;kt;ENV;;;;
BASE;RW;SUP;.ENV.;NETSCO2N;NETS CO2;kt;ENV;;;;
BASE;RW;SUP;.ENV.;NETSGHG;NETS Greenhouse Gas Emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;NETSNO2N;NETS NO2;kt;ENV;;;;
BASE;RW;SUP;.NRG.;NREWST;Waste Non-Renewable;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;NUCRSV;Uranium (Dummy Reserves);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILCRD;Crude Oil;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILDST;Diesel;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILGSL;Motor Spirit;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILHFO;Residual Fuel Oil;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILKER;Kerosenes - Jet Fuels;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILLPG;Liquified Petroleum Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILNAP;Naphtha;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILNEU;Non Energy;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILOTH;Other Petroleum Products;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILPIP;Crude Oil Pre-Pipeline;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILRFG;Refinery Gas;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;OILRSV;Crude Oil Reserves;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;Penalty_REQ;Penalty for not meeting the Renewable ELC production target under Quota system;PJ;ENV;;;;
BASE;RW;SUP;.NRG.;RENGEO;Geothermal;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;RENHYD;Hydro;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;RENSOL;Solar;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;RENWIN;Wind;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;SUBS-REN_FeedIn;Feed-in Tariff Accounting;mEuro;ENV;;;;
BASE;RW;SUP;.ENV.;SUBS-REN_INV;Investment Subsidies for REN tech;mEuro;ENV;;;;
BASE;RW;SUP;.NRG.;SUPBGS;Biogas (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPBOU;Boues (SUP);Mt;NRG;;;;
BASE;RW;SUP;.ENV.;SUPCH4;CH4 (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPCO2b;CO2 biomasse (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPCO2N;Carbon Dioxide - Combustion (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPCO2P;Carbon Dioxide - Process (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SUPCOA;Coal (SUP);PJ;NRG;;;;
BASE;RW;SUP;.ENV.;SUPCOV;COV polluant (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SUPCPS;Chips (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPCRD;Crude Oil (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPCUL;Culture (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPDST;Mazout (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPEFF;Effluents (SUP);Mt;NRG;;;;
BASE;RW;SUP;.NRG.;SUPELC;Electricity (SUP);PJ;NRG;ELC;;DAYNITE;
BASE;RW;SUP;.NRG.;SUPGAS;Natural Gas (SUP);PJ;NRG;;;;
BASE;RW;SUP;.ENV.;SUPGHG;GES total (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPGHGb;GES biomasse total (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SUPGMX;Natural Gas biogas mixed (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPGZH;Biogaz épuré (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPHET;Chaleur pour digesteur (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPHTH;High Temperature Heat (SUP);PJ;NRG;LTHEAT;;SEASON;
BASE;RW;SUP;.NRG.;SUPLOG;Wood Logs (SUP);PJ;NRG;;;;
BASE;RW;SUP;.ENV.;SUPN2O;N2O (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPNH3;NH3 polluant (SUP);kt;ENV;;;;
BASE;RW;SUP;.ENV.;SUPNOX;NOX polluant (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SUPPEL;Pellets (SUP);PJ;NRG;;;;
BASE;RW;SUP;.ENV.;SUPPM2;PM2 polluant (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SUPRPG;Refinary Gas and LPG (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPRPP;Refined Petroleum Products (SUP);PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SUPSLU;Sludges renewable (SUP);Mt;NRG;;;;
BASE;RW;SUP;.ENV.;SUPSOX;SOX polluant (SUP);kt;ENV;;;;
BASE;RW;SUP;.NRG.;SYNDME;Synthetic DME;PJ;NRG;;;;
BASE;RW;SUP;.NRG.;SYNDST;Fossil FT Diesel;PJ;NRG;;;;
BASE;RW;SUP;.ENV.;TOTCOV;total cov emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTGHG;Total Greenhouse Gas Emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTGHGb;GES total biomasse;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTNH3;tot nh3 emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTNOX;Total nox emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTPM2;total pm2 emissions;kt;ENV;;;;
BASE;RW;SUP;.ENV.;TOTSOX;total sox emissions;kt;ENV;;;;
BASE;RW;TRA;.DEM.;TADF;Aviation Domestic Freight;PJ;DEM;;;;
BASE;RW;TRA;.DEM.;TADP;Aviation Domestic Passengers;PJ;DEM;;;;
BASE;RW;TRA;.DEM.;TAIF;Aviation International Freight;PJ;DEM;;;;
BASE;RW;TRA;.DEM.;TAIP;Aviation International Passengers;PJ;DEM;;;;
BASE;RW;TRA;.DEM.;TBC;Road Bus Coach;Bpkm;DEM;;;;
BASE;RW;TRA;.DEM.;TBU;Road Bus Urban;Bpkm;DEM;;;;
BASE;RW;TRA;.DEM.;TCAR;Road Cars;Bpkm;DEM;;;;
BASE;RW;TRA;.DEM.;THDT;Road Heavy Duty Trucks;Btkm;DEM;;;;
BASE;RW;TRA;.DEM.;TLCV;Road Light Commercial Vehicles;Btkm;DEM;;;;
BASE;RW;TRA;.DEM.;TMOP;Road Mopeds and Bicycle;Bpkm;DEM;;;;
BASE;RW;TRA;.DEM.;TMOT;Road Motorcycle;Bpkm;DEM;;;;
BASE;RW;TRA;.DEM.;TNDF;Navigation Domestic Freight;Btkm;DEM;;;;
BASE;RW;TRA;.NRG.;TRABDL;Biodiesel (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRABGS;BioGas (TRA);PJ;NRG;;;;
BASE;RW;TRA;.ENV.;TRACH4;CH4 (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRACH4-I;CH4 - Combustion Aviation International (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRACO2b;CO2 biomasse (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRACO2N;Carbon Dioxide - Combustion (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRACO2N-I;Carbon Dioxide - Combustion Aviation International (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRACOV;COV polluant (TRA);kt;ENV;;;;
BASE;RW;TRA;.NRG.;TRADST;Diesel (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRAELC;Electricity (TRA);PJ;NRG;ELC;;;
BASE;RW;TRA;.NRG.;TRAETH;Ethanol (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRAGH2;Hydrogen gasuous (TRA);PJ;NRG;;;;
BASE;RW;TRA;.ENV.;TRAGHG;GES total (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRAGHGb;GES biomasse total (TRA);kt;ENV;;;;
BASE;RW;TRA;.NRG.;TRAGMX;Gas mixed (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRAGSL;Gasoline (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRAHFO;Heavy Fuel Oil (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRAKER;Kerosene - Jet Fuels (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRALH2;Hydrogen liquid (TRA);PJ;NRG;;;;
BASE;RW;TRA;.NRG.;TRALPG;Liquified Petroleum Gas (TRA);PJ;NRG;;;;
BASE;RW;TRA;.ENV.;TRAN2O;N2O (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRAN2O-I;N20 - Combustion Aviation International (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRANH3;NH3 polluant (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRANOX;NOX polluant (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRAPM2;PM2 polluant (TRA);kt;ENV;;;;
BASE;RW;TRA;.ENV.;TRASOX;SOX polluant (TRA);kt;ENV;;;;
BASE;RW;TRA;.DEM.;TTF;Train Freight;Btkm;DEM;;;;
BASE;RW;TRA;.DEM.;TTP;Train Conventional Passengers;Bpkm;DEM;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;GASBFT;GAS from Blast Furnace TGR;PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;GASCOP;Corex GAS from COREX with CCS;PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;GASIIS;GAS from Corex and/or Blast Furnace TGR with CCS and/or BOF;PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;INDBDL;Bio-diesel-IND;PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;INDBFT;GAS from Blast Furnace TGR (IND);PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.ENV.;INDCO2c;captured co2 test;kt;ENV;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;INDGASCOG;GAS and COG(IND);PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;INDGZH;Biogaz épuré (IND);PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.NRG.;INDIIS;IIS GAS - Corex GAS or BFG TGR with CCS or BOF (IND);PJ;NRG;;;;
IND-NewTechs_TEST;RW;IND;.ENV.;INDSCO2N;Dum commodity produced from IND tech with CO2 storage linked to energy;kt;ENV;;FX;;
IND-NewTechs_TEST;RW;IND;.MAT.;MEOOXY;Oxygen for oxycombustion;Mt;MAT;;;;
RSD-NewTechs;RW;RSD;.NRG.;RSDAHT;Residential Ambient Heat;PJ;NRG;;;;
RSD-NewTechs;RW;RSD;.NRG.;RSDGHT;Residential Ground Heat;PJ;NRG;;;;
TRA-NewTechs;RW;TRA;.NRG.;TRABDL;TRABDL;PJ;NRG;;;;
TRA-NewTechs;RW;TRA;.NRG.;TRAGH2;Hydrogen Gasuous (TRA);PJ;NRG;;;DAYNITE;
TRA-NewTechs;RW;TRA;.NRG.;TRALH2;Hydrogen Liquid (TRA);PJ;NRG;;;DAYNITE;
UC_objectifs_wam_panel;RW;-;NRG;TRA_CAR_stop_thermique_;Positive dummy var for UC: TRA_CAR_stop_thermique;UCU;NRG;dummy;;;
N-Rnw_Constraints_ELC_TRA_RSD_COM;RW;-;NRG;UCA_MIN_RAD3F_;Positive dummy var for UC: UCA_MIN_RAD3F;UCU;NRG;dummy;;;
UC_objectifs_wam_panel;RW;-;NRG;UC_WAM_WOO_RSD_2030_;Positive dummy var for UC: UC_WAM_WOO_RSD_2030;UCU;NRG;dummy;;;
UC_objectifs_wam_panel;RW;-;NRG;NO_COA_2030_;Positive dummy var for UC: NO_COA_2030;UCU;NRG;dummy;;;
N-Rnw_Constraints_ELC_TRA_RSD_COM;RW;-;NRG;UCSU_Rsd-Cok_Gas_Share_;Positive dummy var for UC: UCSU_Rsd-Cok_Gas_Share;UCU;NRG;dummy;;;
Rnw_Constraints_ELC_TRA_RSD_COM;RW;-;NRG;Prod_max_sol_RSD_;Positive dummy var for UC: Prod_max_sol_RSD;UCU;NRG;dummy;;;
UC_objectifs_wam_panel;RW;-;NRG;UC_WAM_ELC_hyd_;Positive dummy var for UC: UC_WAM_ELC_hyd;UCU;NRG;dummy;;;
N-Rnw_Constraints_ELC_TRA_RSD_COM;RW;-;NRG;UCSU_Com-BP_Gas_ShareCC_;Positive dummy var for UC: UCSU_Com-BP_Gas_ShareCC;UCU;NRG;dummy;;;
moderations_Ref;RW;-;NRG;UC_Limitation_comb_solid_fossil_;Positive dummy var for UC: UC_Limitation_comb_solid_fossil;UCU;NRG;dummy;;;
