Technology (Process),Explanation
CHPINDBGSIOIN00_N,TIMES process: CHPINDBGSIOIN00_N
CHPINDBGSIPON00_N,TIMES process: CHPINDBGSIPON00_N
CHPINDBGSISGN00_N,TIMES process: CHPINDBGSISGN00_N
CHPINDBIOIOIN00_N,TIMES process: CHPINDBIOIOIN00_N
CHPINDBLQIPPN00_N,TIMES process: CHPINDBLQIPPN00_N
CHPINDCOGIISN00_N,TIMES process: CHPINDCOGIISN00_N
CHPINDCPSIBPN00_N,TIMES process: CHPINDCPSIBPN00_N
CHPINDCPSICHN00_N,TIMES process: CHPINDCPSICHN00_N
CHPINDCPSIMLN00_N,TIMES process: CHPINDCPSIMLN00_N
CHPINDCPSIOFN00_N,TIMES process: CHPINDCPSIOFN00_N
CHPINDCPSIOIN00_N,TIMES process: CHPINDCPSIOIN00_N
CHPINDCPSIPPN00_N,TIMES process: CHPINDCPSIPPN00_N
CHPINDCPSISGN00_N,TIMES process: CHPINDCPSISGN00_N
CHPINDGMXICHN00_N,TIMES process: CHPINDGMXICHN00_N
CHPINDGMXIISN00_N,TIMES process: CHPINDGMXIISN00_N
CHPINDGMXIMLN00_N,TIMES process: CHPINDGMXIMLN00_N
CHPINDGMXIOFN00_N,TIMES process: CHPINDGMXIOFN00_N
CHPINDGMXIOIN00_N,TIMES process: CHPINDGMXIOIN00_N
CHPINDGMXIPON00_N,TIMES process: CHPINDGMXIPON00_N
CHPINDGMXIPPN00_N,TIMES process: CHPINDGMXIPPN00_N
CHPINDGMXISGN00_N,TIMES process: CHPINDGMXISGN00_N
CHPINDHFOIISN00_N,TIMES process: CHPINDHFOIISN00_N
CHPINDHFOIPPN00_N,TIMES process: CHPINDHFOIPPN00_N
CHPINDIBP00,TIMES process: CHPINDIBP00
CHPINDICH00,TIMES process: CHPINDICH00
CHPINDIML00,TIMES process: CHPINDIML00
CHPINDINM00,TIMES process: CHPINDINM00
CHPINDIOF00,TIMES process: CHPINDIOF00
CHPINDIOI00,TIMES process: CHPINDIOI00
CHPINDIPO00,TIMES process: CHPINDIPO00
CHPINDIPP00,TIMES process: CHPINDIPP00
CHPINDISG00,TIMES process: CHPINDISG00
CHPINDLFOICHN00_N,TIMES process: CHPINDLFOICHN00_N
CHPINDLFOIISN00_N,TIMES process: CHPINDLFOIISN00_N
CHPINDLFOIOFN00_N,TIMES process: CHPINDLFOIOFN00_N
CHPINDLFOIOIN00_N,TIMES process: CHPINDLFOIOIN00_N
CHPINDLFOIPPN00_N,TIMES process: CHPINDLFOIPPN00_N
CHPINDPELICHN00_N,TIMES process: CHPINDPELICHN00_N
CHPINDPELIMLN00_N,TIMES process: CHPINDPELIMLN00_N
CHPINDPELIOIN00_N,TIMES process: CHPINDPELIOIN00_N
CHPINDPELISGN00_N,TIMES process: CHPINDPELISGN00_N
CHPINDWSTIOFN00_N,TIMES process: CHPINDWSTIOFN00_N
CHPINDWSTIOIN00_N,TIMES process: CHPINDWSTIOIN00_N
CHPINDWSTIPPN00_N,TIMES process: CHPINDWSTIPPN00_N
CHSABGS100,TIMES process: CHSABGS100
CHSACPS100,TIMES process: CHSACPS100
CHSACPS101,TIMES process: CHSACPS101
CHSACPSCHPN01_N,TIMES process: CHSACPSCHPN01_N
CHSADUM-DEM,TIMES process: CHSADUM-DEM
CHSAELC100,TIMES process: CHSAELC100
CHSAELC101,TIMES process: CHSAELC101
CHSAELC200,TIMES process: CHSAELC200
CHSAELC201,TIMES process: CHSAELC201
CHSAELCHP201,TIMES process: CHSAELCHP201
CHSAELCHP202,TIMES process: CHSAELCHP202
CHSAELCHP301,TIMES process: CHSAELCHP301
CHSAELCHP302,TIMES process: CHSAELCHP302
CHSAELCHP401,TIMES process: CHSAELCHP401
CHSAELCHP402,TIMES process: CHSAELCHP402
CHSAELCHPR201,TIMES process: CHSAELCHPR201
CHSAELCHPR202,TIMES process: CHSAELCHPR202
CHSAELCHPR301,TIMES process: CHSAELCHPR301
CHSAELCHPR302,TIMES process: CHSAELCHPR302
CHSAELCHPR401,TIMES process: CHSAELCHPR401
CHSAELCHPR402,TIMES process: CHSAELCHPR402
CHSAGEO100,TIMES process: CHSAGEO100
CHSAGEO101,TIMES process: CHSAGEO101
CHSAGMX100,TIMES process: CHSAGMX100
CHSAGMX201,TIMES process: CHSAGMX201
CHSAGMX301,TIMES process: CHSAGMX301
CHSAGMX401,TIMES process: CHSAGMX401
CHSAGMX501,TIMES process: CHSAGMX501
CHSAGMXCHPN01_N,TIMES process: CHSAGMXCHPN01_N
CHSAGMXHP201,TIMES process: CHSAGMXHP201
CHSAGMXHP202,TIMES process: CHSAGMXHP202
CHSAHET100,TIMES process: CHSAHET100
CHSALPG100,TIMES process: CHSALPG100
CHSALPG201,TIMES process: CHSALPG201
CHSALPG301,TIMES process: CHSALPG301
CHSALPGHP202,TIMES process: CHSALPGHP202
CHSALTH101,TIMES process: CHSALTH101
CHSAOIL100,TIMES process: CHSAOIL100
CHSAOIL201,TIMES process: CHSAOIL201
CHSAOIL301,TIMES process: CHSAOIL301
CHSAOIL401,TIMES process: CHSAOIL401
CHSAOILCHPN01_N,TIMES process: CHSAOILCHPN01_N
CHSAPEL100,TIMES process: CHSAPEL100
CHSAPEL101,TIMES process: CHSAPEL101
CHSAPELCHPN01_N,TIMES process: CHSAPELCHPN01_N
CLIGBAELC200,TIMES process: CLIGBAELC200
CLIGBAELC300,TIMES process: CLIGBAELC300
CLIGBAELC301,TIMES process: CLIGBAELC301
CLIGBAELC400,TIMES process: CLIGBAELC400
CLIGBAELC401,TIMES process: CLIGBAELC401
CLIGBAELC500,TIMES process: CLIGBAELC500
CLIGBAELC501,TIMES process: CLIGBAELC501
CLIGBPELC200,TIMES process: CLIGBPELC200
CLIGBPELC300,TIMES process: CLIGBPELC300
CLIGBPELC301,TIMES process: CLIGBPELC301
CLIGBPELC400,TIMES process: CLIGBPELC400
CLIGBPELC401,TIMES process: CLIGBPELC401
CLIGBPELC500,TIMES process: CLIGBPELC500
CLIGBPELC501,TIMES process: CLIGBPELC501
CLIGCOELC200,TIMES process: CLIGCOELC200
CLIGCOELC300,TIMES process: CLIGCOELC300
CLIGCOELC301,TIMES process: CLIGCOELC301
CLIGCOELC400,TIMES process: CLIGCOELC400
CLIGCOELC401,TIMES process: CLIGCOELC401
CLIGCOELC500,TIMES process: CLIGCOELC500
CLIGCOELC501,TIMES process: CLIGCOELC501
CLIGCSELC200,TIMES process: CLIGCSELC200
CLIGCSELC300,TIMES process: CLIGCSELC300
CLIGCSELC301,TIMES process: CLIGCSELC301
CLIGCSELC400,TIMES process: CLIGCSELC400
CLIGCSELC401,TIMES process: CLIGCSELC401
CLIGCSELC500,TIMES process: CLIGCSELC500
CLIGCSELC501,TIMES process: CLIGCSELC501
CLIGDATAELC200,TIMES process: CLIGDATAELC200
CLIGDATAELC300,TIMES process: CLIGDATAELC300
CLIGDATAELC301,TIMES process: CLIGDATAELC301
CLIGDATAELC400,TIMES process: CLIGDATAELC400
CLIGDATAELC401,TIMES process: CLIGDATAELC401
CLIGDATAELC500,TIMES process: CLIGDATAELC500
CLIGDATAELC501,TIMES process: CLIGDATAELC501
CLIGENELC200,TIMES process: CLIGENELC200
CLIGENELC300,TIMES process: CLIGENELC300
CLIGENELC301,TIMES process: CLIGENELC301
CLIGENELC400,TIMES process: CLIGENELC400
CLIGENELC401,TIMES process: CLIGENELC401
CLIGENELC500,TIMES process: CLIGENELC500
CLIGENELC501,TIMES process: CLIGENELC501
CLIGNBAELC301,TIMES process: CLIGNBAELC301
CLIGNBAELC401,TIMES process: CLIGNBAELC401
CLIGNBAELC501,TIMES process: CLIGNBAELC501
CLIGNBPELC301,TIMES process: CLIGNBPELC301
CLIGNBPELC401,TIMES process: CLIGNBPELC401
CLIGNBPELC501,TIMES process: CLIGNBPELC501
CLIGNCOELC301,TIMES process: CLIGNCOELC301
CLIGNCOELC401,TIMES process: CLIGNCOELC401
CLIGNCOELC501,TIMES process: CLIGNCOELC501
CLIGNCSELC301,TIMES process: CLIGNCSELC301
CLIGNCSELC401,TIMES process: CLIGNCSELC401
CLIGNCSELC501,TIMES process: CLIGNCSELC501
CLIGNDATAELC301,TIMES process: CLIGNDATAELC301
CLIGNDATAELC401,TIMES process: CLIGNDATAELC401
CLIGNDATAELC501,TIMES process: CLIGNDATAELC501
CLIGNENELC301,TIMES process: CLIGNENELC301
CLIGNENELC401,TIMES process: CLIGNENELC401
CLIGNENELC501,TIMES process: CLIGNENELC501
CLIGNSAELC301,TIMES process: CLIGNSAELC301
CLIGNSAELC401,TIMES process: CLIGNSAELC401
CLIGNSAELC501,TIMES process: CLIGNSAELC501
CLIGSAELC200,TIMES process: CLIGSAELC200
CLIGSAELC300,TIMES process: CLIGSAELC300
CLIGSAELC301,TIMES process: CLIGSAELC301
CLIGSAELC400,TIMES process: CLIGSAELC400
CLIGSAELC401,TIMES process: CLIGSAELC401
CLIGSAELC500,TIMES process: CLIGSAELC500
CLIGSAELC501,TIMES process: CLIGSAELC501
CO2CTOMETHELC,TIMES process: CO2CTOMETHELC
CO2CTOMETHIND,TIMES process: CO2CTOMETHIND
CO2DAC-01,TIMES process: CO2DAC-01
COELELC100,TIMES process: COELELC100
COELELC101,TIMES process: COELELC101
COENMIX100,TIMES process: COENMIX100
COENMIX101,TIMES process: COENMIX101
COMBDL00,Commercial process using CO2
COMBGS00,Commercial process using Biogas
COMCOA00,Commercial process using Coal
COMCPS00,Commercial process using Solid biomass
COMELC00,Commercial process using Electricity
COMGAS00,Commercial process using Natural Gas
COMGEO00,Commercial process using CO2
COMGMX00,Commercial process using Biogas
COMGSL00,Commercial process using biomasse
COMGZH00,Commercial process using CO2
COMHET00,Commercial process using Central heat
COMLPG00,Commercial process using Oil
COMOIL00,Commercial process using Oil
COMPEL00,Commercial process using Solid biomass
COMPVELC,Commercial process using Electricity
COMSOL00,Commercial process using CO2
COM_CBAT_BA,Commercial process using CO2
COM_CBAT_BP,Commercial process using CO2
COM_CBAT_CO,Commercial process using CO2
COM_CBAT_CS,Commercial process using CO2
COM_CBAT_DATA,Commercial process using CO2
COM_CBAT_EN,Commercial process using CO2
COM_CBAT_SA,Commercial process using CO2
COM_CNBAT_BA,Commercial process using CO2
COM_CNBAT_BP,Commercial process using CO2
COM_CNBAT_CO,Commercial process using CO2
COM_CNBAT_CS,Commercial process using CO2
COM_CNBAT_DATA,Commercial process using CO2
COM_CNBAT_EN,Commercial process using CO2
COM_CNBAT_SA,Commercial process using CO2
COSEELC100,TIMES process: COSEELC100
COSEELC101,TIMES process: COSEELC101
CPLIELC100,TIMES process: CPLIELC100
CPLIELC101,TIMES process: CPLIELC101
CPLIELC201,TIMES process: CPLIELC201
CREFELC100,TIMES process: CREFELC100
CREFELC101,TIMES process: CREFELC101
CREFELC200,TIMES process: CREFELC200
CREFELC201,TIMES process: CREFELC201
CREFELC300,TIMES process: CREFELC300
CREFELC301,TIMES process: CREFELC301
CREFELC401,TIMES process: CREFELC401
CWBABGS100,TIMES process: CWBABGS100
CWBACPS100,TIMES process: CWBACPS100
CWBAELC101,TIMES process: CWBAELC101
CWBAELCHP201,TIMES process: CWBAELCHP201
CWBAGMX100,TIMES process: CWBAGMX100
CWBAGMX101,TIMES process: CWBAGMX101
CWBALPG100,TIMES process: CWBALPG100
CWBALPG101,TIMES process: CWBALPG101
CWBAOIL100,TIMES process: CWBAOIL100
CWBAOIL101,TIMES process: CWBAOIL101
CWBAPEL100,TIMES process: CWBAPEL100
CWBAPEL101,TIMES process: CWBAPEL101
CWBASOL100,TIMES process: CWBASOL100
CWBASOL101,TIMES process: CWBASOL101
CWBASOLD101,TIMES process: CWBASOLD101
CWBASOLE101,TIMES process: CWBASOLE101
CWBASOLG101,TIMES process: CWBASOLG101
CWBPBGS100,TIMES process: CWBPBGS100
CWBPCPS100,TIMES process: CWBPCPS100
CWBPELC101,TIMES process: CWBPELC101
CWBPELCHP201,TIMES process: CWBPELCHP201
CWBPGEO101,TIMES process: CWBPGEO101
CWBPGMX100,TIMES process: CWBPGMX100
CWBPGMX101,TIMES process: CWBPGMX101
CWBPLPG100,TIMES process: CWBPLPG100
CWBPLPG101,TIMES process: CWBPLPG101
CWBPNELC101,TIMES process: CWBPNELC101
CWBPNELCHP201,TIMES process: CWBPNELCHP201
CWBPNGEO101,TIMES process: CWBPNGEO101
CWBPNGMX101,TIMES process: CWBPNGMX101
CWBPNLPG101,TIMES process: CWBPNLPG101
CWBPNOIL101,TIMES process: CWBPNOIL101
CWBPNPEL101,TIMES process: CWBPNPEL101
CWBPNSOLD101,TIMES process: CWBPNSOLD101
CWBPNSOLE101,TIMES process: CWBPNSOLE101
CWBPNSOLG101,TIMES process: CWBPNSOLG101
CWBPOIL100,TIMES process: CWBPOIL100
CWBPOIL101,TIMES process: CWBPOIL101
CWBPPEL100,TIMES process: CWBPPEL100
CWBPPEL101,TIMES process: CWBPPEL101
CWBPSOL100,TIMES process: CWBPSOL100
CWBPSOL101,TIMES process: CWBPSOL101
CWBPSOLD101,TIMES process: CWBPSOLD101
CWBPSOLE101,TIMES process: CWBPSOLE101
CWBPSOLG101,TIMES process: CWBPSOLG101
CWCOBGS100,TIMES process: CWCOBGS100
CWCOCPS100,TIMES process: CWCOCPS100
CWCOELC100,TIMES process: CWCOELC100
CWCOELC101,TIMES process: CWCOELC101
CWCOELC200,TIMES process: CWCOELC200
CWCOELCHP201,TIMES process: CWCOELCHP201
CWCOGMX100,TIMES process: CWCOGMX100
CWCOGMX101,TIMES process: CWCOGMX101
CWCOLPG100,TIMES process: CWCOLPG100
CWCOLPG101,TIMES process: CWCOLPG101
CWCOOIL100,TIMES process: CWCOOIL100
CWCOOIL101,TIMES process: CWCOOIL101
CWCOPEL100,TIMES process: CWCOPEL100
CWCOPEL101,TIMES process: CWCOPEL101
CWCOSOL100,TIMES process: CWCOSOL100
CWCOSOL101,TIMES process: CWCOSOL101
CWCOSOLD101,TIMES process: CWCOSOLD101
CWCOSOLE101,TIMES process: CWCOSOLE101
CWCOSOLG101,TIMES process: CWCOSOLG101
CWCSBGS100,TIMES process: CWCSBGS100
CWCSCPS100,TIMES process: CWCSCPS100
CWCSELC101,TIMES process: CWCSELC101
CWCSELCHP201,TIMES process: CWCSELCHP201
CWCSGEO101,TIMES process: CWCSGEO101
CWCSGMX100,TIMES process: CWCSGMX100
CWCSGMX101,TIMES process: CWCSGMX101
CWCSHET100,TIMES process: CWCSHET100
CWCSLPG100,TIMES process: CWCSLPG100
CWCSLPG101,TIMES process: CWCSLPG101
CWCSOIL100,TIMES process: CWCSOIL100
CWCSOIL101,TIMES process: CWCSOIL101
CWCSPEL100,TIMES process: CWCSPEL100
CWCSPEL101,TIMES process: CWCSPEL101
CWCSSOL100,TIMES process: CWCSSOL100
CWCSSOL101,TIMES process: CWCSSOL101
CWCSSOLD101,TIMES process: CWCSSOLD101
CWCSSOLE101,TIMES process: CWCSSOLE101
CWCSSOLG101,TIMES process: CWCSSOLG101
CWDATAELC101,TIMES process: CWDATAELC101
CWDATAELCHP201,TIMES process: CWDATAELCHP201
CWDATAGMX101,TIMES process: CWDATAGMX101
CWDATALPG101,TIMES process: CWDATALPG101
CWDATAOIL101,TIMES process: CWDATAOIL101
CWDATAPEL101,TIMES process: CWDATAPEL101
CWENBGS100,TIMES process: CWENBGS100
CWENCPS100,TIMES process: CWENCPS100
CWENELC101,TIMES process: CWENELC101
CWENELCHP201,TIMES process: CWENELCHP201
CWENGMX100,TIMES process: CWENGMX100
CWENGMX101,TIMES process: CWENGMX101
CWENLPG100,TIMES process: CWENLPG100
CWENLPG101,TIMES process: CWENLPG101
CWENNELC101,TIMES process: CWENNELC101
CWENNELCHP201,TIMES process: CWENNELCHP201
CWENNGEO101,TIMES process: CWENNGEO101
CWENNGMX101,TIMES process: CWENNGMX101
CWENNLPG101,TIMES process: CWENNLPG101
CWENNOIL101,TIMES process: CWENNOIL101
CWENNPEL101,TIMES process: CWENNPEL101
CWENNSOL101,TIMES process: CWENNSOL101
CWENNSOLD101,TIMES process: CWENNSOLD101
CWENNSOLE101,TIMES process: CWENNSOLE101
CWENNSOLG101,TIMES process: CWENNSOLG101
CWENOIL100,TIMES process: CWENOIL100
CWENOIL101,TIMES process: CWENOIL101
CWENPEL100,TIMES process: CWENPEL100
CWENPEL101,TIMES process: CWENPEL101
CWENSOL100,TIMES process: CWENSOL100
CWENSOL101,TIMES process: CWENSOL101
CWENSOLD101,TIMES process: CWENSOLD101
CWENSOLE101,TIMES process: CWENSOLE101
CWENSOLG101,TIMES process: CWENSOLG101
CWNBAELC101,TIMES process: CWNBAELC101
CWNBAELCHP201,TIMES process: CWNBAELCHP201
CWNBAGEO101,TIMES process: CWNBAGEO101
CWNBAGMX101,TIMES process: CWNBAGMX101
CWNBALPG101,TIMES process: CWNBALPG101
CWNBAOIL101,TIMES process: CWNBAOIL101
CWNBAPEL101,TIMES process: CWNBAPEL101
CWNBASOLD101,TIMES process: CWNBASOLD101
CWNBASOLE101,TIMES process: CWNBASOLE101
CWNBASOLG101,TIMES process: CWNBASOLG101
CWNBPELC101,TIMES process: CWNBPELC101
CWNBPELCHP201,TIMES process: CWNBPELCHP201
CWNBPGEO101,TIMES process: CWNBPGEO101
CWNBPGMX101,TIMES process: CWNBPGMX101
CWNBPLPG101,TIMES process: CWNBPLPG101
CWNBPOIL101,TIMES process: CWNBPOIL101
CWNBPPEL101,TIMES process: CWNBPPEL101
CWNBPSOLD101,TIMES process: CWNBPSOLD101
CWNBPSOLE101,TIMES process: CWNBPSOLE101
CWNBPSOLG101,TIMES process: CWNBPSOLG101
CWNCOELC101,TIMES process: CWNCOELC101
CWNCOELCHP201,TIMES process: CWNCOELCHP201
CWNCOGMX101,TIMES process: CWNCOGMX101
CWNCOLPG101,TIMES process: CWNCOLPG101
CWNCOOIL101,TIMES process: CWNCOOIL101
CWNCOPEL101,TIMES process: CWNCOPEL101
CWNCOSOL101,TIMES process: CWNCOSOL101
CWNCOSOLD101,TIMES process: CWNCOSOLD101
CWNCOSOLE101,TIMES process: CWNCOSOLE101
CWNCOSOLG101,TIMES process: CWNCOSOLG101
CWNCSELC101,TIMES process: CWNCSELC101
CWNCSELCHP201,TIMES process: CWNCSELCHP201
CWNCSGEO101,TIMES process: CWNCSGEO101
CWNCSGMX101,TIMES process: CWNCSGMX101
CWNCSLPG101,TIMES process: CWNCSLPG101
CWNCSOIL101,TIMES process: CWNCSOIL101
CWNCSPEL101,TIMES process: CWNCSPEL101
CWNCSSOL101,TIMES process: CWNCSSOL101
CWNCSSOLD101,TIMES process: CWNCSSOLD101
CWNCSSOLE101,TIMES process: CWNCSSOLE101
CWNCSSOLG101,TIMES process: CWNCSSOLG101
CWNDATAELC101,TIMES process: CWNDATAELC101
CWNDATAELCHP201,TIMES process: CWNDATAELCHP201
CWNDATAGMX101,TIMES process: CWNDATAGMX101
CWNDATALPG101,TIMES process: CWNDATALPG101
CWNDATAOIL101,TIMES process: CWNDATAOIL101
CWNDATAPEL101,TIMES process: CWNDATAPEL101
CWNENELC101,TIMES process: CWNENELC101
CWNENELCHP201,TIMES process: CWNENELCHP201
CWNENGEO101,TIMES process: CWNENGEO101
CWNENGMX101,TIMES process: CWNENGMX101
CWNENLPG101,TIMES process: CWNENLPG101
CWNENOIL101,TIMES process: CWNENOIL101
CWNENPEL101,TIMES process: CWNENPEL101
CWNENSOL101,TIMES process: CWNENSOL101
CWNENSOLD101,TIMES process: CWNENSOLD101
CWNENSOLE101,TIMES process: CWNENSOLE101
CWNENSOLG101,TIMES process: CWNENSOLG101
CWNSAELC101,TIMES process: CWNSAELC101
CWNSAELCHP201,TIMES process: CWNSAELCHP201
CWNSAGEO101,TIMES process: CWNSAGEO101
CWNSAGMX101,TIMES process: CWNSAGMX101
CWNSALPG101,TIMES process: CWNSALPG101
CWNSAOIL101,TIMES process: CWNSAOIL101
CWNSAPEL101,TIMES process: CWNSAPEL101
CWNSASOL101,TIMES process: CWNSASOL101
CWNSASOLD101,TIMES process: CWNSASOLD101
CWNSASOLE101,TIMES process: CWNSASOLE101
CWNSASOLG101,TIMES process: CWNSASOLG101
CWSABGS100,TIMES process: CWSABGS100
CWSACPS100,TIMES process: CWSACPS100
CWSAELC101,TIMES process: CWSAELC101
CWSAELCHP201,TIMES process: CWSAELCHP201
CWSAGEO101,TIMES process: CWSAGEO101
CWSAGMX100,TIMES process: CWSAGMX100
CWSAGMX101,TIMES process: CWSAGMX101
CWSAHET100,TIMES process: CWSAHET100
CWSALPG100,TIMES process: CWSALPG100
CWSALPG101,TIMES process: CWSALPG101
CWSAOIL100,TIMES process: CWSAOIL100
CWSAOIL101,TIMES process: CWSAOIL101
CWSAPEL100,TIMES process: CWSAPEL100
CWSAPEL101,TIMES process: CWSAPEL101
CWSASOL100,TIMES process: CWSASOL100
CWSASOL101,TIMES process: CWSASOL101
CWSASOLD101,TIMES process: CWSASOLD101
CWSASOLE101,TIMES process: CWSASOLE101
CWSASOLG101,TIMES process: CWSASOLG101
DIGECPS100,TIMES process: DIGECPS100
DIGEGAS100,TIMES process: DIGEGAS100
DIGEOIL100,TIMES process: DIGEOIL100
DIGEPEL100,TIMES process: DIGEPEL100
DJ_2F_process,TIMES process: DJ_2F_process
DJ_3F_process,TIMES process: DJ_3F_process
DJ_4F_process,TIMES process: DJ_4F_process
DJ_AP_process,TIMES process: DJ_AP_process
Dum_Retrofit,TIMES process: Dum_Retrofit
Dum_Retrofit_Commercial,TIMES process: Dum_Retrofit_Commercial
ECHPP_AED_BGS_N,TIMES process: ECHPP_AED_BGS_N
ECHPP_CCGT-CHP_GAS_N,TIMES process: ECHPP_CCGT-CHP_GAS_N
ECHPP_CHP_WOO_N,TIMES process: ECHPP_CHP_WOO_N
ECHPP_COM_BGS_E05,TIMES process: ECHPP_COM_BGS_E05
ECHPP_COM_CPS_E01,TIMES process: ECHPP_COM_CPS_E01
ECHPP_COM_GAS_E04,TIMES process: ECHPP_COM_GAS_E04
ECHPP_COM_OIL_E06,TIMES process: ECHPP_COM_OIL_E06
ECHPP_COM_PEL_E03,TIMES process: ECHPP_COM_PEL_E03
ECHPP_MOT_BGS_E01,TIMES process: ECHPP_MOT_BGS_E01
ECHPP_MOT_BIO_E02,TIMES process: ECHPP_MOT_BIO_E02
ECHPP_MOT_GAS_E04,TIMES process: ECHPP_MOT_GAS_E04
ECHPP_MOT_OIL_E03,TIMES process: ECHPP_MOT_OIL_E03
ELCBGS00,Electricity process using Electricity
ELCBIO00,Electricity process using Electricity
ELCCOH00,Electricity process using Electricity
ELCCOL00,Electricity process using Electricity
ELCCPS00,Electricity process using Electricity
ELCDGS00,Electricity process using Electricity
ELCGAS00,Electricity process using Electricity
ELCGEO00,Electricity process using Electricity
ELCHFO00,Electricity process using Electricity
ELCHYD00,Electricity process using Electricity
ELCNUC00,Electricity process using Electricity
ELCOIL00,Electricity process using Electricity
ELCPEL00,Electricity process using Electricity
ELCSLU00,Electricity process using Electricity
ELCSOL00,Electricity process using Electricity
ELCWIN00,Electricity process using Electricity
ELCWST00,Electricity process using Electricity
ENUC_Thiange,TIMES process: ENUC_Thiange
ERNW_Eolien_Big_E1,TIMES process: ERNW_Eolien_Big_E1
ERNW_Eolien_Medium_E3,TIMES process: ERNW_Eolien_Medium_E3
ERNW_Eolien_Small_E4,TIMES process: ERNW_Eolien_Small_E4
ERNW_GEO-EGS_GEO_N,TIMES process: ERNW_GEO-EGS_GEO_N
ERNW_HYD_HYD_N,TIMES process: ERNW_HYD_HYD_N
ERNW_Hydro_Big_E5,TIMES process: ERNW_Hydro_Big_E5
ERNW_Hydro_Medium_E6,TIMES process: ERNW_Hydro_Medium_E6
ERNW_Hydro_Pompage_E8,TIMES process: ERNW_Hydro_Pompage_E8
ERNW_Hydro_Small_E7,TIMES process: ERNW_Hydro_Small_E7
ERNW_PV-Buildings_SOL_N,TIMES process: ERNW_PV-Buildings_SOL_N
ERNW_PV-GreenField_SOL_N,TIMES process: ERNW_PV-GreenField_SOL_N
ERNW_PV-Large_Roof_SOL_N,TIMES process: ERNW_PV-Large_Roof_SOL_N
ERNW_PV-RES_Homes_SOL_N,TIMES process: ERNW_PV-RES_Homes_SOL_N
ERNW_WINON-Small_WIN_N,TIMES process: ERNW_WINON-Small_WIN_N
ERNW_WINON_WIN_N,TIMES process: ERNW_WINON_WIN_N
ETSTP_CCGT-CCS_PostC_GAS_N,TIMES process: ETSTP_CCGT-CCS_PostC_GAS_N
ETSTP_CCGT_GAS_N,TIMES process: ETSTP_CCGT_GAS_N
ETSTP_FB-CCS_PostC_COL_N,TIMES process: ETSTP_FB-CCS_PostC_COL_N
ETSTP_FBB_WOO_N,TIMES process: ETSTP_FBB_WOO_N
ETSTP_GFST_WOO_N,TIMES process: ETSTP_GFST_WOO_N
ETSTP_IGCC-CCS_PreC_COH_N,TIMES process: ETSTP_IGCC-CCS_PreC_COH_N
ETSTP_IGCC-CCS_PreC_COL_N,TIMES process: ETSTP_IGCC-CCS_PreC_COL_N
ETSTP_IGCC_COH_N,TIMES process: ETSTP_IGCC_COH_N
ETSTP_IGCC_COL_N,TIMES process: ETSTP_IGCC_COL_N
ETSTP_IGCC_WOO_N,TIMES process: ETSTP_IGCC_WOO_N
ETSTP_MOT_BGS_E09,TIMES process: ETSTP_MOT_BGS_E09
ETSTP_OCGT-A_GAS_N,TIMES process: ETSTP_OCGT-A_GAS_N
ETSTP_OCGT-C_GAS_N,TIMES process: ETSTP_OCGT-C_GAS_N
ETSTP_PSC-CCS_Oxyf_COH_N,TIMES process: ETSTP_PSC-CCS_Oxyf_COH_N
ETSTP_PSC-CCS_PostC_COH_N,TIMES process: ETSTP_PSC-CCS_PostC_COH_N
ETSTP_PSC_COH_N,TIMES process: ETSTP_PSC_COH_N
ETSTP_PSC_COL_N,TIMES process: ETSTP_PSC_COL_N
ETSTP_SCFB_COL_N,TIMES process: ETSTP_SCFB_COL_N
ETSTP_TAG_GAS_E06,TIMES process: ETSTP_TAG_GAS_E06
ETSTP_TGV_GAS_E01,TIMES process: ETSTP_TGV_GAS_E01
ETSTP_TGV_GAS_E02,TIMES process: ETSTP_TGV_GAS_E02
ETSTP_TGV_GAS_E03,TIMES process: ETSTP_TGV_GAS_E03
ETSTP_TGV_GAS_E04,TIMES process: ETSTP_TGV_GAS_E04
ETSTP_TVC_WST_E11,TIMES process: ETSTP_TVC_WST_E11
EVTRANS_H-H,TIMES process: EVTRANS_H-H
EVTRANS_H-M,TIMES process: EVTRANS_H-M
EVTRANS_L-M,TIMES process: EVTRANS_L-M
EVTRANS_M-L,TIMES process: EVTRANS_M-L
EXPBIOCPS,Export of Solid biomass
EXPBIODST,Export of biomasse
EXPBIOLOG,Export of Solid biomass
EXPBIOPEL,Export of Solid biomass
EXPCOABRO,Export of Coal
EXPCOACOK,Export of Coal
EXPCOAHAR,Export of Coal
EXPCOALIG,Export of Coal
EXPELCHIG,Export of HV Electricity (AC / DC)
EXPGASNAT,Export of Natural Gas
EXPOILCRD,Export of Oil
EXPOILDST,Export of Oil
EXPOILFDS,Export of Oil
EXPOILGSL,Export of Oil
EXPOILHFO,Export of Oil
EXPOILKER,Export of Oil
EXPOILLPG,Export of Oil
EXPOILNAP,Export of Oil
EXPOILNEU,Export of Oil
EXPOILOTH,Export of Oil
IAMADVCAP10,TIMES process: IAMADVCAP10
IAMADVPRO10,TIMES process: IAMADVPRO10
IAMSTDPRO00,TIMES process: IAMSTDPRO00
IAMSTDPRO01,TIMES process: IAMSTDPRO01
IAMSTDPRO10,TIMES process: IAMSTDPRO10
IBKSTDPRO00,TIMES process: IBKSTDPRO00
IBKSTDPRO01,TIMES process: IBKSTDPRO01
IBOBIOPEL00,TIMES process: IBOBIOPEL00
